TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,IDO,51917,,NIFTYNXT50,,2026-10-27,2026-10-27,66500.00,CE,NIFTYNXT5026OCT66500CE,0.00,0.00,0.00,7388.40,0.00,7388.40,72025.40,6200.84,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52083,,NIFTYNXT50,,2026-10-27,2026-10-27,72000.00,CE,NIFTYNXT5026OCT72000CE,0.00,0.00,0.00,3756.60,0.00,3756.60,72025.40,2214.78,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52114,,NIFTYNXT50,,2026-10-27,2026-10-27,72600.00,CE,NIFTYNXT5026OCT72600CE,0.00,0.00,0.00,3448.00,0.00,3448.00,72025.40,1914.30,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52129,,NIFTYNXT50,,2026-10-27,2026-10-27,72800.00,CE,NIFTYNXT5026OCT72800CE,0.00,0.00,0.00,3348.75,0.00,3348.75,72025.40,1820.66,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52155,,NIFTYNXT50,,2026-10-27,2026-10-27,73700.00,CE,NIFTYNXT5026OCT73700CE,0.00,0.00,0.00,2927.70,0.00,2927.70,72025.40,1438.29,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52157,,NIFTYNXT50,,2026-10-27,2026-10-27,73800.00,CE,NIFTYNXT5026OCT73800CE,0.00,0.00,0.00,2883.35,0.00,2883.35,72025.40,1399.67,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52161,,NIFTYNXT50,,2026-10-27,2026-10-27,74000.00,CE,NIFTYNXT5026OCT74000CE,0.00,0.00,0.00,2796.05,0.00,2796.05,72025.40,1324.69,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52185,,NIFTYNXT50,,2026-10-27,2026-10-27,75200.00,CE,NIFTYNXT5026OCT75200CE,0.00,0.00,0.00,2311.90,0.00,2311.90,72025.40,935.51,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52189,,NIFTYNXT50,,2026-10-27,2026-10-27,75400.00,CE,NIFTYNXT5026OCT75400CE,0.00,0.00,0.00,2237.65,0.00,2237.65,72025.40,880.22,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52222,,NIFTYNXT50,,2026-10-27,2026-10-27,76900.00,CE,NIFTYNXT5026OCT76900CE,0.00,0.00,0.00,1736.70,0.00,1736.70,72025.40,543.61,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52224,,NIFTYNXT50,,2026-10-27,2026-10-27,77000.00,CE,NIFTYNXT5026OCT77000CE,0.00,0.00,0.00,1706.70,0.00,1706.70,72025.40,525.50,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52238,,NIFTYNXT50,,2026-10-27,2026-10-27,77700.00,CE,NIFTYNXT5026OCT77700CE,0.00,0.00,0.00,1507.75,0.00,1507.75,72025.40,412.08,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52366,,NIFTYNXT50,,2026-10-27,2026-10-27,82000.00,CE,NIFTYNXT5026OCT82000CE,0.00,0.00,0.00,657.45,0.00,657.45,72025.40,73.65,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52386,,NIFTYNXT50,,2026-10-27,2026-10-27,83000.00,CE,NIFTYNXT5026OCT83000CE,0.00,0.00,0.00,532.70,0.00,532.70,72025.40,46.70,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65264,,NIFTYNXT50,,2026-11-23,2026-11-23,63800.00,CE,NIFTYNXT5026NOV63800CE,0.00,0.00,0.00,11819.65,0.00,11819.65,72025.40,9126.75,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65420,,NIFTYNXT50,,2026-11-23,2026-11-23,65100.00,CE,NIFTYNXT5026NOV65100CE,0.00,0.00,0.00,10631.15,0.00,10631.15,72025.40,7958.37,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65434,,NIFTYNXT50,,2026-11-23,2026-11-23,65800.00,CE,NIFTYNXT5026NOV65800CE,0.00,0.00,0.00,10006.35,0.00,10006.35,72025.40,7350.92,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65474,,NIFTYNXT50,,2026-11-23,2026-11-23,67200.00,CE,NIFTYNXT5026NOV67200CE,0.00,0.00,0.00,8795.40,0.00,8795.40,72025.40,6192.05,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65480,,NIFTYNXT50,,2026-11-23,2026-11-23,67500.00,CE,NIFTYNXT5026NOV67500CE,0.00,0.00,0.00,8543.45,0.00,8543.45,72025.40,5954.70,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65522,,NIFTYNXT50,,2026-11-23,2026-11-23,68800.00,CE,NIFTYNXT5026NOV68800CE,0.00,0.00,0.00,7487.10,0.00,7487.10,72025.40,4979.25,0,0,0,0.00,0,F1,25,,,,,
